Date_Time,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
2021-03-22 10:21:53,41.7,11.7,32.4,16.2,27.9,6.3,63.9,2.7,21.0,33.3,9.0,13.5,19.6,9.0,0.0,15.3,0.0,0.0,20.546666666666667,20.037926807516776,22.7,14.475387332332366,19.11111111111111,22.88542982875272,5.1,7.212489168102785
2021-03-22 10:21:54,42.6,12.6,34.2,18.6,25.2,5.4,61.2,3.6,21.0,41.4,9.0,15.0,16.8,9.0,0.0,14.4,0.0,0.0,21.04,20.58962166273773,23.1,14.963979166023925,19.666666666666664,23.49169984357391,4.8,6.788225099390855
2021-03-22 10:21:55,43.5,13.5,36.0,21.0,22.5,4.5,58.5,4.5,21.0,49.5,9.0,16.5,14.0,9.0,0.0,13.5,0.0,0.0,21.53333333333333,21.141316517958685,23.5,15.452570999715483,20.22222222222222,24.097969858395103,4.5,6.363961030678928
2021-03-22 10:21:56,44.4,14.4,37.8,23.4,19.799999999999997,3.5999999999999996,55.8,5.4,21.0,57.599999999999994,9.0,18.0,11.200000000000003,9.0,0.0,12.6,0.0,0.0,22.026666666666667,21.693011373179637,23.9,15.941162833407043,20.77777777777778,24.7042398732163,4.2,5.939696961966999
2021-03-22 10:21:57,45.3,15.3,39.6,25.8,17.099999999999998,2.7,53.099999999999994,6.3,21.0,65.69999999999999,9.0,19.5,8.400000000000002,9.0,0.0,11.7,0.0,0.0,22.52,22.244706228400588,24.3,16.429754667098603,21.333333333333332,25.310509888037494,3.9,5.5154328932550705
2021-03-22 10:21:58,46.2,16.2,41.4,28.2,14.399999999999999,1.7999999999999998,50.4,7.2,21.0,73.8,9.0,21.0,5.600000000000001,9.0,0.0,10.8,0.0,0.0,23.013333333333332,22.796401083621543,24.7,16.91834650079016,21.88888888888889,25.916779902858686,3.6,5.091168824543142
2021-03-22 10:21:59,47.1,17.1,43.2,30.599999999999998,11.7,0.9000000000000004,47.7,8.1,21.0,81.89999999999999,9.0,22.5,2.8000000000000007,9.0,0.0,9.9,0.0,0.0,23.506666666666668,23.348095938842498,25.1,17.406938334481723,22.444444444444443,26.523049917679877,3.3000000000000003,4.666904755831213
2021-03-22 10:22:00,48.0,18.0,45.0,33.0,9.0,0.0,45.0,9.0,21.0,90.0,9.0,24.0,0.0,9.0,0.0,9.0,0.0,0.0,24.0,23.89979079406345,25.5,17.89553016817328,23.0,27.129319932501073,3.0,4.242640687119285
2021-03-22 10:22:01,45.0,18.0,45.0,33.0,9.9,0.0,45.0,9.0,20.4,90.0,9.9,25.5,0.0,12.3,0.9,9.0,0.0,0.0,24.26,23.75978949232514,25.15,17.509544036117774,23.666666666666668,27.041057230588237,3.0,4.242640687119285
2021-03-22 10:22:02,42.0,18.0,45.0,33.0,10.8,0.0,45.0,9.0,19.8,90.0,10.8,27.0,0.0,15.6,1.8,9.0,0.0,0.0,24.52,23.619788190586835,24.8,17.123557904062263,24.333333333333332,26.952794528675398,3.0,4.242640687119285
2021-03-22 10:22:03,39.0,18.0,45.0,33.0,11.7,0.0,45.0,9.0,19.2,90.0,11.7,28.5,0.0,18.9,2.7,9.0,0.0,0.0,24.78,23.479786888848526,24.45,16.737571772006756,25.0,26.864531826762562,3.0,4.242640687119285
2021-03-22 10:22:04,36.0,18.0,45.0,33.0,12.6,0.0,45.0,9.0,18.6,90.0,12.6,30.0,0.0,22.2,3.6,9.0,0.0,0.0,25.04,23.33978558711022,24.1,16.35158563995125,25.666666666666668,26.776269124849723,3.0,4.242640687119285
2021-03-22 10:22:05,33.0,18.0,45.0,33.0,13.5,0.0,45.0,9.0,18.0,90.0,13.5,31.5,0.0,25.5,4.5,9.0,0.0,0.0,25.3,23.199784285371912,23.75,15.965599507895739,26.333333333333336,26.688006422936887,3.0,4.242640687119285
2021-03-22 10:22:06,30.0,18.0,45.0,33.0,14.4,0.0,45.0,9.0,17.4,90.0,14.4,33.0,0.0,28.799999999999997,5.4,9.0,0.0,0.0,25.560000000000002,23.059782983633603,23.4,15.579613375840232,27.0,26.59974372102405,3.0,4.242640687119285
2021-03-22 10:22:07,27.0,18.0,45.0,33.0,15.3,0.0,45.0,9.0,16.8,90.0,15.3,34.5,0.0,32.099999999999994,6.3,9.0,0.0,0.0,25.82,22.919781681895298,23.05,15.193627243784723,27.666666666666668,26.511481019111212,3.0,4.242640687119285
2021-03-22 10:22:08,24.0,18.0,45.0,33.0,16.2,0.0,45.0,9.0,16.2,90.0,16.2,36.0,0.0,35.4,7.2,9.0,0.0,0.0,26.080000000000002,22.77978038015699,22.7,14.807641111729215,28.333333333333336,26.423218317198376,3.0,4.242640687119285
2021-03-22 10:22:09,21.0,18.0,45.0,33.0,17.1,0.0,45.0,9.0,15.600000000000001,90.0,17.1,37.5,0.0,38.7,8.1,9.0,0.0,0.0,26.34,22.639779078418684,22.35,14.421654979673708,29.0,26.334955615285537,3.0,4.242640687119285
2021-03-22 10:22:10,18.0,18.0,45.0,33.0,18.0,0.0,45.0,9.0,15.0,90.0,18.0,39.0,0.0,42.0,9.0,9.0,0.0,0.0,26.6,22.499777776680375,22.0,14.035668847618199,29.666666666666668,26.2466929133727,3.0,4.242640687119285
2021-03-22 10:22:11,17.1,17.1,43.2,33.9,16.2,0.0,45.0,8.1,14.4,85.5,18.0,39.1,0.0,45.0,8.1,9.9,0.0,0.0,26.046666666666667,22.44630226903671,21.25,14.156077028269197,29.244444444444447,26.074283854334112,3.3,4.666904755831213
2021-03-22 10:22:12,16.2,16.2,41.4,34.8,14.4,0.0,45.0,7.2,13.8,81.0,18.0,39.2,0.0,48.0,7.2,10.8,0.0,0.0,25.493333333333336,22.392826761393046,20.5,14.276485208920194,28.822222222222223,25.901874795295523,3.6,5.091168824543142
2021-03-22 10:22:13,15.3,15.3,39.6,35.7,12.6,0.0,45.0,6.3,13.2,76.5,18.0,39.3,0.0,51.0,6.3,11.7,0.0,0.0,24.94,22.33935125374938,19.75,14.39689338957119,28.4,25.729465736256934,3.9,5.5154328932550705
2021-03-22 10:22:14,14.4,14.4,37.8,36.6,10.8,0.0,45.0,5.4,12.6,72.0,18.0,39.4,0.0,54.0,5.4,12.6,0.0,0.0,24.386666666666667,22.285875746105717,19.0,14.517301570222187,27.977777777777778,25.557056677218345,4.2,5.939696961966998
2021-03-22 10:22:15,13.5,13.5,36.0,37.5,9.0,0.0,45.0,4.5,12.0,67.5,18.0,39.5,0.0,57.0,4.5,13.5,0.0,0.0,23.833333333333336,22.23240023846205,18.25,14.637709750873185,27.555555555555557,25.384647618179756,4.5,6.363961030678928
2021-03-22 10:22:16,12.6,12.6,34.2,38.4,7.199999999999999,0.0,45.0,3.5999999999999996,11.4,63.0,18.0,39.6,0.0,60.0,3.5999999999999996,14.4,0.0,0.0,23.28,22.178924730818384,17.5,14.758117931524183,27.133333333333333,25.212238559141163,4.8,6.788225099390855
2021-03-22 10:22:17,11.7,11.7,32.4,39.3,5.4,0.0,45.0,2.7,10.8,58.5,18.0,39.7,0.0,63.0,2.7,15.3,0.0,0.0,22.726666666666667,22.12544922317472,16.75,14.87852611217518,26.71111111111111,25.039829500102574,5.1,7.212489168102784
